name, monthly_income, work_hours, skill_id,difficulty, is_inventment
"動画編集", 50000, 20, 動画編集ソフトの操作スキル, 3, 1
"Webデザイン", 150000, 30, PhotoshopやIllustratorなどのデザインソフトの操作スキル, 4, 1
"Webライティング", 40000, 10, なし,2, 1
"プログラミング", 20万～50万, 40, プログラミング言語やフレームワークの知識・スキル,5, 1
せどり, 5万～10万（仕入れ費用を除く）, 20, なし,4, 1
翻訳, 5万～10万（言語や分野によって異なる）, 20,4,1
株式投資, 収益は変動するが、平均して月3万～5万程度（元手や運用方法によって異なる）¹, 0, 株式市場や銘柄の動向を分析する能力、株式取引アプリやサイトの操作スキル⁴,5,2
投資信託⁶, 収益は変動するが、平均して年間3％～5％程度, 0, なし（投資信託を選ぶ際には基本的な知識が必要だが、専門的な知識は不要）,3,2
暗号資産（仮想通貨）, 収益は変動するが、平均して月5万～10万程度（元手や運用方法によって異なる）, 0, 暗号資産の仕組みや市場の動向を理解する能力、暗号資産取引アプリやサイトの操作スキル, 5,2
FX, 収益は変動するが、平均して月3万～5万程度（元手や運用方法によって異なる）, 0, 為替相場や経済指標の分析能力、FX取引アプリやサイトの操作スキル, 5,2
不動産投資, 収益は変動するが、平均して月5万～10万程度（物件や運用方法によって異なる）, 0, 物件の選び方や融資の仕方などの知識、不動産会社との交渉スキル, 5,2
純金積み立て, 収益は変動するが、平均して年間3％～5％程度, 0, なし（純金積み立ては比較的シンプルな投資方法である）, 中（金価格が下落する可能性がある）,2
太陽光発電投資, 収益は変動するが、平均して月3万～5万程度（物件や運用方法によって異なる）, 0, 発電所の選び方や融資の仕方などの知識、太陽光発電会社との交渉スキル, 5,2
治験, 1回あたり1万～10万, 1回あたり数時間～数日（治験の種類や期間によって異なる）,なし, 4,3
ベビーシッター, 1時間あたり1000円～2000円, 自由（依頼があれば好きな時間に働ける）, なし, 3,3
ペットシッター, 1時間あたり1000円～2000円, 自由（依頼があれば好きな時間に働ける）, なし, 3,3
家事代行, 1時間あたり1000円～2000円, 自由（依頼があれば好きな時間に働ける）, なし, 3,3
デリバリー, 1時間あたり1000円～2000円＋配達手数料, 自由（依頼があれば好きな時間に働ける）, 自転車やバイクなどの移動手段、ナビゲーションアプリの操作スキル, 3,3
タクシードライバー, 日給1万～2万＋歩合給, 自由（シフト制で好きな時間に働ける）, 普通自動車免許とタクシードライバー資格、ナビゲーションアプリの操作スキル, 5, 3
